placeName,address,managerUnit,applyUnit,contactor,officePhone,fax,email,register,imageUrl,seg,place
西門徒步區,,臺北市政府文化局/臺北市文化基金會,,,02-23119830#88,,taipeibuskerworkshop@gmail.com,線上登記(https://busker-register.taipei/index.aspx),http://busker.culture.tw/c_upload_busker/performer/place/image/2016-07-25/fc8ee052-7e5d-4ff9-bf7f-e7f0b96b8247/268ec1d0e973536e37a3451630d3d12c.jpg,"['西門', '徒步']",
花博公園公共空間,,財團法人臺北市會展產業發展基金會,,周小姐,02-21828886#7520,,,免登記,http://busker.culture.tw/c_upload_busker/performer/place/image/2016-07-25/0aa32921-6985-45b6-8dc5-fe755b8ce4b2/83e19aa1b98bc263d89648e9c1d88210.JPG,"['花博公園', '公共']",
信義徒步區,,臺北市政府文化局,臺北市政府文化局,吳小姐,02-27208889#3531、#3556,,taipeibuskerworkshop@gmail.com,登記制,http://busker.culture.tw/c_upload_busker/performer/place/image/2016-07-25/73694fcd-e501-4aef-b2ed-45c43341cc5a/b5859a44f4756c0e4f7bb8b82c25031b.jpg,"['信義', '徒步']",
花博公園原民風味館,,臺北市政府原住民事務委員會,,楊小姐,(02)2720-8889轉2012,,,電話預約,http://busker.culture.tw/c_upload_busker/performer/place/image/2016-07-25/e01d7bf6-0b8d-432a-ad59-27f7f198dae9/ed6f66b3d299b55692cb06eb75c586b3.jpg,"['花博公園', '原民風味館']",
台北車站誠品站前K區地下街,,誠品生活股份有限公司,,盧小姐,,02-66321188分機102,39busker@gmail.com,以E-mail、傳真、郵寄或親送申請書及申請所需文件至本商場辦公室。,http://busker.culture.tw/c_upload_busker/performer/place/image/2016-07-25/ac507eec-dc52-46c5-9ce0-f895cda622a4/2657042d507e91542a5f8419eba79741.JPG,"['車站', '誠品', '台北']",
捷運淡水站(新北市淡水區),,臺北捷運公司,淡北段辦公室,站長陳先生,02-25505600分機4338 / 0910696367,,,現場抽籤,http://busker.culture.tw/c_upload_busker/performer/place/image/2016-07-25/9fe293de-66c2-4a8c-812a-c54cbf3ffff0/2bbeab7bf404d4b87e3a9992e8409cad.png,"['淡水', '新北市']",
貓空纜車,,臺北捷運公司,纜車中心,,02-86618110,,,預約登記（受理申請時間為9:00~18:00，指南宮站戶外廣場截止受理時間提前至17:00）,http://busker.culture.tw/c_upload_busker/performer/place/image/2016-07-25/fd6aa137-4d1f-4e85-8653-8315ac34ec2b/749f91e8a48db3d87d6f45f8955cd07e.jpg,"['貓空', '纜車']",
中山堂廣場,,臺北市政府文化局,中山堂管理所,,(02)2381-3137 #103,,,預約登記,http://busker.culture.tw/c_upload_busker/performer/place/image/2016-07-25/614c5f78-939c-4371-a0ed-9e4357e91fdf/4331b8766663502cffd93b71ad15032b.jpg,"['中山堂', '廣場']",
美麗新廣場,,美麗華實業股份有限公司,,劉小姐,02-25320101#216,,annie.liu@miramargroup.com.tw,電子郵件,http://busker.culture.tw/c_upload_busker/performer/place/image/2016-09-05/4d5a2537-2098-49d5-b3da-e9e4bc164847/cbe5e7d97b64c03bb843f244307fe1da.jpg,"['美麗新', '廣場']",
市民廣場及市政大樓週邊場地街舞區,,臺北市市政大樓公共事務管理中心,公管中心事務組,李小姐,02-27258624,,,無,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-16/b6f3c865-4938-4ed2-9065-b975e513c8f0/6f7edcd1d283c7dff912d319915dd6f8.jpg,"['廣場', '大樓', '週邊場', '街舞', '市政', '市民']",
國立國父紀念館與中山公園,,國立國父紀念館,國立國父紀念館,蘇小姐,02-27588008#522,,,現場登記,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-17/a6d775ea-63c0-4802-ab20-7054b3ce2dc8/9a35b38f64a09c802ed2e5622b46e99e.jpg,"['國立國', '父紀念館', '公園', '中山']",
寶藏巖,,臺北市政府文化局/臺北市文化基金會,,江小姐,02-23645315#134,,,電話預約,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-17/c7acaebd-d183-43ef-a013-f01a0ed7e4dc/6fa8de2bd19c14cf16da2acd3a763fea.jpg,['寶藏'],
