ID,Q1: 您的生理性別 Gender,Q2: 你的出生西元年 your birth year,Q3: 您的星座 constellation    ,Q4: 您是哪個學院的 which college you come from,Q7: 您的性格傾向（依照您自己的觀察判斷）Personality   and  personal characters ,Q8: 您的課外活動/社團活動參與 involvement in after-class extracurricular activities,Q9: 您的學業表現 (過去以來的狀況) your academic performance level in general,Q10: 您的居住狀態 where do you live?,你主要使用的手機廠牌 Brand of your major cellurla phone,這隻手機使用多久How long you have this phone?,手機上網流量 internet connection type,Data,A: 關於手機的一些資訊 some information about cellalur phone usage [S1. FB的朋友數 number of friends you have at FB],A: 關於手機的一些資訊 some information about cellalur phone usage [S2. LINE的好友數 number of friends you have at LINE],A: 關於手機的一些資訊 some information about cellalur phone usage [S3. LINE的群組數 number of groups you are in at LINE],A: 關於手機的一些資訊 some information about cellalur phone usage [S4. IG的粉絲數 number of followers at IG],A: 關於手機的一些資訊 some information about cellalur phone usage [S5. IG的追蹤中人數 number of following at IG],B: 手機使用行為 Cellular phone usage [B1. 每天用手機玩手機遊戲的時間大約幾分鐘 time (minutes) of playing game on the phone per day ],Time,B: 手機使用行為 Cellular phone usage [B2. 每天用手機看影片追劇的時間大約幾分鐘 time (minutes) of watching vedio/film/drama on the phone per day ],B: 手機使用行為 Cellular phone usage [B3: 每天用手機瀏覽新聞的時間大約幾分鐘 time (minutes) of reading news on the phone per day ],B: 手機使用行為 Cellular phone usage [B4. 一週用手機叫餐買食物飲料的次數 number of ordering food/drinks per week in average],B: 手機使用行為 Cellular phone usage [B5. 一週用手機叫車搭車的次數 number of calling taxi per week in average],B: 手機使用行為 Cellular phone usage [B6: 手機剩下%多少電力時會感到焦慮(請填0-100的數值) how many % of power left may feel nervous],"C: 手機使用習慣 tendency of using phone [C1. 我曾因長時間玩手機遊戲而眼睛酸澀、肌肉痠痛，或有其他身體不適 I have often experienced dry/sore eyes, muscle aches, or other physical discomforts from playing mobile games for a long duration.a]","C: 手機使用習慣 tendency of using phone [C2. 我常常原本沒有打算玩手機遊戲，卻會忍不住拿起手機來玩一下（滑一下） I often do not plan on playing mobile games, but cannot resist picking up my phone to play (swipe).]",C: 手機使用習慣 tendency of using phone [C3. 在過去3個月裡，我感覺需要更常玩手機遊戲，或玩更久的時間才覺得我玩夠了 I find that I am spending more time playing mobile games],"C: 手機使用習慣 tendency of using phone [C4. 如果不能玩手機遊戲，我會覺得靜不下心，感到很煩躁 If I cannot play a mobile game, I feel restless and irritable.]",總時間
1,男,1993,1. 水瓶座(1/20-2/18) Aquarius,我不是台師大學生 Not NTNU student,1. 內向安靜 Introvert and gentle,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,2. 有限制不是吃到飽 limited data,FALSE,283,210,20,145,202,80,FALSE,0,30,0,0,5,2不符合 disagree,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,218.98
2,女,1995,1. 水瓶座(1/20-2/18) Aquarius,我不是台師大學生 Not NTNU student,5. 難以捉摸 Hart to say and unstable,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,2,650,200,10,151,700,360,2,0,30,0,0,50,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,192.61
3,女,1995,1. 水瓶座(1/20-2/18) Aquarius,我不是台師大學生 Not NTNU student,5. 難以捉摸 Hart to say and unstable,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,3,969,200,100,305,1622,300,3,180,20,1,1,60,4非常符合 extremely agree,4非常符合 extremely agree,4非常符合 extremely agree,4非常符合 extremely agree,315.24
4,女,1996,1. 水瓶座(1/20-2/18) Aquarius,國際與僑教學院College of International Studies and Social Sciences,1. 內向安靜 Introvert and gentle,3. 積極參與 highly involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,4,544,341,88,337,281,0,FALSE,60,0,0,0,3,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,307.18
5,女,1998,1. 水瓶座(1/20-2/18) Aquarius,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L3: 住在親戚/朋友家裡 live in relative/friend's house,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,3. 預付卡或臨時卡 Prepaid SIM card,FALSE,1586,50,20,5000,600,30,FALSE,30,30,2,1,30,3符合 agree,3符合 agree,3符合 agree,2不符合 disagree,216.87
6,男,1999,1. 水瓶座(1/20-2/18) Aquarius,管理學院College of Management,2. 中性平衡 Balance and equal,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,6,3000,5000,40,3000,3000,120,FALSE,180,10,0,0,10,2不符合 disagree,3符合 agree,2不符合 disagree,2不符合 disagree,199.46
7,女,1999,1. 水瓶座(1/20-2/18) Aquarius,藝術學院College of Arts,2. 中性平衡 Balance and equal,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,三星SAMSUNG,1. 半年內 within an half year,1. 吃到飽沒上限 unlimited data,7,350,400,30,260,310,0,FALSE,40,2,0,0,50,3符合 agree,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,204.02
8,男,2000,1. 水瓶座(1/20-2/18) Aquarius,文學院College of Liberal Arts,5. 難以捉摸 Hart to say and unstable,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,索尼SONY,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,8,789,384,97,627,777,0,FALSE,180,30,0,0,60,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,163.7
9,男,2000,1. 水瓶座(1/20-2/18) Aquarius,我不是台師大學生 Not NTNU student,5. 難以捉摸 Hart to say and unstable,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,1. 半年內 within an half year,1. 吃到飽沒上限 unlimited data,9,1759,104,29,2004,982,120,FALSE,30,60,2,1,20,3符合 agree,3符合 agree,3符合 agree,2不符合 disagree,353.71
10,女,2000,1. 水瓶座(1/20-2/18) Aquarius,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,小米MI,2. 半年以上未滿一年  > .5 year less than 1 year,2. 有限制不是吃到飽 limited data,FALSE,0865597183,No,No,400,600,20,FALSE,30,40,4,9,59,3符合 agree,2不符合 disagree,1極不符合 extremely disagree,2不符合 disagree,351.03
